"filedate","tractid","countyfp10","totalfilings"
"01/14/2020","13121001500","121",1
"01/14/2020","13121001700","121",1
"01/14/2020","13121001900","121",7
"01/14/2020","13121002100","121",13
"01/14/2020","13121002300","121",2
"01/14/2020","13121002400","121",1
"01/14/2020","13121002500","121",2
"01/14/2020","13121002800","121",1
"01/14/2020","13121003200","121",2
"01/14/2020","13121004400","121",1
"01/14/2020","13121006300","121",1
"01/14/2020","13121006500","121",1
"01/14/2020","13121007100","121",1
"01/14/2020","13121007300","121",2
"01/14/2020","13121007400","121",9
"01/14/2020","13121007500","121",1
"01/14/2020","13121007603","121",4
"01/14/2020","13121007604","121",1
"01/14/2020","13121007705","121",1
"01/14/2020","13121007706","121",3
"01/14/2020","13121007802","121",4
"01/14/2020","13121007805","121",15
"01/14/2020","13121007806","121",6
"01/14/2020","13121007808","121",10
"01/14/2020","13121008000","121",1
"01/14/2020","13121008102","121",9
"01/14/2020","13121008201","121",1
"01/14/2020","13121008602","121",3
"01/14/2020","13121008700","121",4
"01/14/2020","13121008902","121",21
"01/14/2020","13121009101","121",3
"01/14/2020","13121009402","121",1
"01/14/2020","13121009403","121",7
"01/14/2020","13121009502","121",1
"01/14/2020","13121009602","121",4
"01/14/2020","13121009801","121",1
"01/14/2020","13121010001","121",1
"01/14/2020","13121010110","121",6
"01/14/2020","13121010117","121",16
"01/14/2020","13121010118","121",3
"01/14/2020","13121010119","121",16
"01/14/2020","13121010205","121",9
"01/14/2020","13121010208","121",17
"01/14/2020","13121010209","121",2
"01/14/2020","13121010301","121",2
"01/14/2020","13121010303","121",2
"01/14/2020","13121010507","121",2
"01/14/2020","13121010508","121",1
"01/14/2020","13121010510","121",1
"01/14/2020","13121010511","121",1
"01/14/2020","13121010512","121",4
"01/14/2020","13121010513","121",19
"01/14/2020","13121010514","121",2
"01/14/2020","13121010601","121",2
"01/14/2020","13121010800","121",1
"01/14/2020","13121011000","121",1
"01/14/2020","13121011100","121",1
"01/14/2020","13121011201","121",6
"01/14/2020","13121011202","121",16
"01/14/2020","13121011303","121",5
"01/14/2020","13121011306","121",4
"01/14/2020","13121011412","121",5
"01/14/2020","13121011414","121",4
"01/14/2020","13121011420","121",9
"01/14/2020","13121011427","121",1
"01/14/2020","13121011610","121",5
"01/14/2020","13121011619","121",8
"01/14/2020","13121011800","121",1
"01/14/2020","13121012000","121",13
"01/15/2020","13121000500","121",6
"01/15/2020","13121000600","121",1
"01/15/2020","13121001001","121",1
"01/15/2020","13121001100","121",4
"01/15/2020","13121001202","121",3
"01/15/2020","13121001300","121",1
